batch_id,product_id,supplier_id,batch_number,manufacture_date,expiry_date,quantity_received,quantity_remaining,warehouse_location,quality_status,document_status
B-0001,P-005,S-06,M2-2606-C,2026-06-17,2026-08-07,240,209,C3-A6,Passed,Complete
B-0002,P-043,S-03,CW-2512-C,2025-12-13,2026-07-18,120,0,A2-D3,Pending,Incomplete
B-0003,P-006,S-05,C3-2510-B,2025-10-25,2025-12-01,120,0,C1-B5,Passed,Complete
B-0004,P-036,S-13,BS-2602-A,2026-02-07,2026-07-17,360,0,A3-D5,Passed,Missing
B-0005,P-016,S-06,PB-2507-D,2025-07-15,2026-07-25,480,0,A3-A4,Pending,Missing
B-0006,P-015,S-11,PB-2601-B,2026-01-01,2026-08-28,360,0,A2-D6,,Complete
B-0007,P-002,S-01,GY-2606-C,2026-06-18,2026-08-03,600,304,C2-B3,Passed,Complete
B-0008,P-034,S-06,,2025-08-04,2026-04-04,480,0,A3-D3,Passed,Complete
B-0009,P-009,S-05,K3-2607-D,2026-07-27,2026-09-24,960,960,C3-C4,Passed,Complete
B-0010,P-033,S-11,TS-2507-C,2025-07-07,2026-05-21,120,0,A1-B1,Passed,
B-0011,P-040,S-12,BR-2503-D,2025-03-30,2025-12-21,-120,0,A1-D2,Passed,
B-0012,P-034,S-08,SC-2509-C,2025-09-27,2026-10-16,120,0,A3-D5,Passed,Complete
B-0013,P-031,S-09,VC-2509-D,2025-09-25,2026-09-25,960,0,A2-C3,Pending,Complete
B-0014,P-010,S-07,IC-2608-C,2026-08-14,2026-09-27,960,787,C3-A5,Passed,Complete
B-0015,P-023,S-04,FP-2508-D,2025-08-07,,600,0,F2-D6,Passed,Complete
B-0016,P-009,S-02,K3-2502-D,2025-02-11,2025-04-12,600,0,C1-D3,Passed,Missing
B-0017,P-018,S-09,,2026-03-22,2026-10-22,120,28,A3-A1,Hold,Complete
B-0018,P-002,S-08,GY-2509-C,2025-09-16,2025-10-29,480,0,C1-B3,Passed,Complete
B-0019,P-020,S-12,BC-2602-B,2026-02-03,2027-02-09,960,0,F1-A3,Passed,Complete
B-0020,P-005,S-11,M2-2512-D,2025-12-30,2026-02-03,480,0,C2-D4,Passed,Incomplete
B-0021,P-018,S-04,NB-2509-D,2025-09-23,2026-09-20,120,0,A2-B4,Passed,Incomplete
B-0022,P-022,S-04,VC-2506-A,2025-06-23,2026-09-15,360,0,F2-D4,Passed,Complete
B-0023,P-015,S-09,PB-2509-C,2025-09-21,2026-05-07,960,0,A2-C3,Passed,Incomplete
B-0024,P-021,S-08,L4-2506-C,2025-06-18,2026-09-07,240,0,F1-B3,Passed,Complete
B-0025,P-001,S-03,YD-2505-D,2025-05-24,2025-07-15,120,0,C2-B1,Passed,Missing
B-0026,P-008,S-01,OJ-2603-B,2026-03-01,2026-05-06,48000,39,C1-D5,Passed,Complete
B-0027,P-050,S-07,KS-2604-C,2026-04-21,2027-05-08,480,199,A1-B3,Passed,Complete
B-0028,P-012,S-08,SL-2506-C,2025-06-24,2025-07-29,480,0,C1-B3,Passed,Complete
B-0029,P-043,S-03,CW-2508-C,2025-08-05,2026-04-20,120,0,A3-C4,Passed,Complete
B-0030,P-045,S-10,N5-2510-A,2025-10-20,2026-07-25,600,0,A1-A6,Failed,Complete
B-0031,P-049,S-03,G4-2605-D,2026-05-11,2027-02-17,960,657,A2-C6,Passed,Complete
B-0032,P-027,S-02,CC-2511-C,2025-11-06,2026-09-21,480,0,A1-D4,Passed,Complete
B-0033,P-040,S-03,BR-2604-C,2026-04-12,2027-03-22,120,17,A3-B6,Passed,Complete
B-0034,P-036,S-11,BS-2509-B,2025-09-02,2026-09-02,120,181,A2-D2,Passed,Complete
B-0035,P-013,S-13,OM-2606-D,2026-06-19,2026-09-09,240,126,C3-C5,Passed,Complete
B-0036,P-010,S-07,IC-2605-D,2026-05-25,2026-07-21,360,270,C2-B4,Passed,Incomplete
B-0037,P-046,S-08,PP-2602-A,2026-02-09,2026-10-15,960,342,A2-A5,Pending,Complete
B-0038,P-010,S-12,IC-2506-D,2025-06-22,2025-07-31,480,0,C2-C6,Passed,Incomplete
B-0039,P-035,S-04,A2-2512-A,2025-12-11,2026-07-09,960,99,A2-B6,Passed,Complete
B-0040,P-021,S-09,L4-2511-D,2025-11-11,2026-11-07,360,0,F2-B4,Pending,Complete
B-0042,P-030,S-10,PS-2508-C,2025-08-06,2026-04-11,480,0,A3-D3,Passed,Missing
B-0043,P-050,S-05,KS-2503-B,2025-03-06,2026-03-24,600,0,A3-B6,Passed,Complete
B-0044,P-003,S-01,B5-2604-C,2026-04-11,2026-05-18,600,234,C2-C2,Passed,Incomplete
B-0045,P-031,S-02,VC-2511-B,2025-11-13,2026-10-20,360,0,A2-C1,Passed,Complete
B-0046,P-035,S-07,A2-2509-C,2025-09-29,,960,0,A3-C5,Passed,Complete
B-0047,P-030,S-01,PS-2511-C,2025-11-20,2026-10-02,480,0,A2-D3,Passed,Incomplete
B-0048,P-035,S-08,A2-2506-D,2025-06-22,2026-07-03,480,0,A2-B3,Passed,Complete
B-0049,P-035,S-02,A2-2601-D,2026-01-17,2026-07-01,480,0,A1-C2,,Incomplete
B-0050,P-014,S-14,PB-2512-B,2025-12-19,2026-10-06,240,4,A1-B5,Passed,Complete
B-0051,P-043,S-01,CW-2505-B,2025-05-29,2025-10-29,360,0,A1-D4,Passed,Complete
B-0052,P-007,S-01,C6-2508-A,2025-08-29,2025-11-11,120,0,C2-D1,Pending,Complete
B-0053,P-010,S-06,IC-2605-D,2026-05-23,2026-08-05,960,642,C1-A6,Passed,Incomplete
B-0054,P-047,S-08,CS-2603-D,2026-03-31,2026-12-21,240,70,A2-B6,Hold,Complete
B-0055,P-006,S-01,C3-2604-C,2026-04-22,2026-07-13,960,467,C2-A3,Passed,Complete
B-0056,P-037,S-06,PS-2506-C,2025-06-22,2026-05-06,480,0,A1-C2,Hold,Incomplete
B-0057,P-018,S-03,NB-2509-B,2025-09-09,2026-08-04,360,0,A1-A6,Passed,Complete
B-0058,P-030,S-10,PS-2601-A,2026-01-28,2026-09-14,960,0,A1-C4,Passed,Complete
B-0059,P-029,S-02,TM-2508-C,2025-08-23,2026-08-01,600,0,A1-D5,Passed,Complete
B-0060,P-014,S-12,PB-2510-D,2025-10-03,2026-05-15,360,0,A3-C1,Passed,Incomplete
B-0061,P-028,S-07,RC-2507-D,2025-07-05,2026-07-10,360,0,A3-D6,Pending,Complete
B-0062,P-007,S-01,C6-2607-C,2026-07-16,2026-09-14,600,508,C3-B3,Passed,
B-0063,P-042,S-10,O7-2509-B,2025-09-13,2026-03-08,240,0,A2-D5,Passed,Complete
B-0064,P-037,S-02,PS-2512-D,2025-12-11,2026-12-17,960,0,A3-A3,Passed,Complete
B-0065,P-024,S-07,D5-2504-D,2025-04-03,2026-06-12,120,0,F3-B3,Passed,Complete
B-0066,P-004,S-01,CS-2601-D,2026-01-01,2026-03-22,120,0,C2-D4,Passed,Complete
B-0067,P-004,S-01,CS-2512-C,2025-12-23,2026-01-31,360,0,C2-A5,Passed,Missing
B-0068,P-020,S-07,BC-2602-C,2026-02-20,2026-12-20,600,0,F3-A6,Passed,Complete
B-0069,P-002,S-03,GY-2507-A,2025-07-18,2025-09-04,360,0,C3-A6,Passed,Incomplete
B-0070,P-009,S-13,K3-2506-B,2025-06-21,2025-08-05,240,0,C2-C6,Passed,Complete
B-0071,P-016,S-10,,2026-05-10,2027-05-26,240,134,A1-B5,Passed,Complete
B-0072,P-042,S-05,O7-2601-A,2026-01-30,2026-11-17,120,19,A2-A2,Passed,Missing
B-0073,P-002,S-01,GY-2602-B,2026-02-24,2026-05-02,360,0,C1-B1,Passed,Incomplete
B-0074,P-045,S-01,N5-2605-C,2026-05-10,2027-01-29,600,0,A2-A3,Passed,Complete
B-0075,P-016,S-01,PB-2604-B,2026-04-28,,120,65,A2-B5,Passed,Complete
B-0076,P-006,S-09,C3-2601-A,2026-01-19,2026-02-27,600,66,C2-A3,Passed,Complete
B-0077,P-047,S-06,CS-2505-C,2025-05-01,2026-04-13,600,0,A3-D6,Passed,Complete
B-0078,P-046,S-04,PP-2604-A,2026-04-28,2026-10-04,360,74,A2-C1,Passed,Complete
B-0079,P-023,S-06,FP-2503-D,2025-03-04,2026-05-15,360,0,F1-D6,Passed,Missing
B-0080,P-034,S-14,SC-2508-B,2025-08-09,2026-07-11,480,0,A2-D5,Passed,Complete
B-0081,P-029,S-05,TM-2502-A,2025-02-27,2026-01-29,360,0,A3-B1,Passed,Complete
B-0082,P-051,S-07,CP-2505-A,2025-05-24,2025-11-07,240,0,A1-B5,Passed,Complete
B-0083,P-018,S-07,NB-2602-A,2026-02-09,2026-07-15,960,0,A2-D2,Passed,Missing
B-0084,P-029,S-06,,2026-01-10,2026-09-30,120,28,A1-B3,Passed,Complete
B-0085,P-013,S-10,OM-2509-C,2025-09-14,2025-12-08,480,0,C1-C4,,Incomplete
B-0086,P-034,S-06,SC-2603-A,2026-03-10,2027-03-05,600,0,A3-B2,Passed,Missing
B-0087,P-004,S-04,CS-2606-C,2026-06-29,2026-08-12,360,216,C1-C2,Passed,Complete
B-0088,P-006,S-10,C3-2507-C,2025-07-06,2025-09-16,600,0,C1-C6,Passed,Complete
B-0089,P-040,S-05,BR-2606-D,2026-06-08,2027-06-20,960,596,A3-A2,Passed,Complete
B-0090,P-014,S-14,PB-2506-C,2025-06-11,2026-01-27,960,0,A2-B4,Passed,Complete
B-0091,P-010,S-14,IC-2606-B,2026-06-09,2026-08-07,600,678,C1-D5,Passed,Missing
B-0092,P-032,S-06,P1-2511-A,2025-11-14,2026-08-20,480,0,A2-C5,Passed,Complete
B-0093,P-009,S-01,K3-2601-B,2026-01-24,2026-04-17,480,0,C3-C5,Passed,Complete
B-0094,P-007,S-01,C6-2512-A,2025-12-28,2026-03-08,360,0,C2-B5,Pending,Complete
B-0095,P-040,S-09,BR-2602-D,2026-02-21,2026-12-25,960,0,A3-A4,Passed,Incomplete
B-0096,P-047,S-13,CS-2502-B,2025-02-11,2025-12-10,480,0,A3-D2,Failed,Complete
B-0097,P-037,S-03,PS-2505-D,2025-05-07,2025-11-21,120,0,A3-A6,Passed,Complete
B-0098,P-021,S-08,L4-2605-C,2026-05-19,2027-06-27,480,321,F3-C5,Passed,
B-0099,P-018,S-12,,2025-09-02,2026-09-28,360,0,A2-C1,Passed,Complete
B-0100,P-026,S-02,SB-2506-C,2025-06-13,2026-01-23,120,0,A3-C5,Passed,Complete
B-0101,P-040,S-04,BR-2509-B,2025-09-17,2026-04-17,120,0,A1-A5,,Complete
B-0102,P-042,S-05,O7-2605-C,2026-05-17,2027-02-13,960,473,A1-A2,Passed,Incomplete
B-0103,P-003,S-05,B5-2602-A,2026-02-25,2026-05-21,480,0,C2-D6,Passed,Complete
B-0104,P-009,S-12,,2026-05-09,,240,52,C2-C5,Passed,Complete
B-0105,P-040,S-07,,2026-03-06,2027-03-02,480,122,A2-D2,Passed,Complete
B-0106,P-022,S-01,VC-2501-A,2025-01-26,2025-12-28,960,0,F3-C6,Passed,Missing
B-0107,P-019,S-12,EB-2508-C,2025-08-29,2026-03-23,240,0,A3-B2,Passed,Complete
B-0108,P-051,S-10,CP-2511-A,2025-11-15,2026-08-27,960,0,A1-B3,Failed,Complete
