order_id,customer_id,order_date,dispatch_date,product_id,batch_id,quantity_sold,sales_value,delivery_region
O-00639,C-058,2025-02-01,2025-02-01,P-044,B-0210,24,112.86,Canterbury
O-01173,C-002,2025-02-01,2025-02-01,P-015,B-0173,24,161.76,Canterbury
O-01327,C-056,2025-02-01,2025-02-03,P-050,B-0114,6,24.6,Canterbury
O-00703,C-006,2025-04-01,2025-04-03,P-004,B-0182,6,11.57,Wellington
O-00379,C-046,2025-01-20,2025-01-20,P-028,B-0061,24,142.8,Otago
O-01573,C-069,2025-01-20,2025-01-23,P-046,B-0122,24,299.59,Bay of Plenty
O-01622,C-028,2025-01-20,2025-01-22,P-014,B-0050,48,290.4,Waikato
O-00246,C-049,2025-01-21,2025-01-23,P-021,B-0217,6,55.86,Canterbury
O-00833,C-029,2025-01-21,2025-01-21,P-049,B-0225,48,347.93,Bay of Plenty
O-00968,C-037,2025-01-21,2025-01-24,P-015,B-0006,36,242.64,Canterbury
O-00977,C-017,2025-01-22,2025-01-23,P-033,B-0221,12,100.8,Auckland
O-01002,C-003,2025-01-22,,P-015,B-0165,24,161.76,Wellington
O-01260,C-039,2025-01-22,,P-028,B-0061,48,285.6,Otago
O-00238,C-013,2025-01-23,2025-01-26,P-022,B-0259,72,955.44,Canterbury
O-00441,C-028,2025-01-23,2025-01-26,P-047,B-0121,6,77.04,Otago
O-00777,C-064,2025-01-23,,P-012,B-0299,6,23.34,Auckland
O-00913,C-035,2025-01-23,2025-01-25,P-049,B-0129,12,91.56,Canterbury
O-01039,C-060,2025-01-23,2025-01-23,P-013,B-0035,24,78.48,Auckland
O-01390,C-031,2025-01-23,2025-01-26,P-035,B-0049,12,47.28,Wellington
O-01567,C-059,2025-01-23,2025-01-25,P-050,B-0027,48,196.8,Wellington
O-01682,C-030,2025-01-23,2025-01-24,P-045,B-0289,36,174.24,Bay of Plenty
O-00071,C-022,2025-01-24,2025-01-24,P-019,B-0237,12,67.03,Canterbury
O-00338,C-031,2025-01-24,2025-01-27,P-044,,6,29.7,Otago
O-00983,C-002,2025-01-24,2025-01-27,P-044,B-0262,24,118.8,Canterbury
O-01527,C-048,2025-01-24,2025-01-25,P-051,B-0189,12,57.0,Auckland
O-01577,C-006,2025-01-24,2025-01-25,P-024,B-0153,24,128.16,Wellington
O-00359,C-069,2025-01-25,2025-01-25,P-024,,24,128.16,Bay of Plenty
O-00469,C-025,2025-01-25,2025-01-27,P-034,B-0202,24,66.96,Canterbury
O-00487,C-048,2025-01-25,2025-01-28,P-050,B-0027,12,49.2,Auckland
O-00801,C-068,2025-01-25,2025-01-27,P-036,B-0034,48,258.24,Waikato
O-01455,C-055,2025-01-25,2025-01-26,P-029,B-0264,24,44.92,Wellington
O-01723,C-032,2025-01-25,2025-01-25,P-020,B-0068,72,453.6,Auckland
O-00590,C-041,2025-01-26,2025-01-26,P-038,B-0152,48,161.28,Auckland
O-00613,C-030,2025-01-26,2025-01-29,P-044,B-0109,6,28.21,Bay of Plenty
O-01006,C-018,2025-01-26,2025-01-28,P-015,B-0165,48,323.52,Auckland
O-01118,C-022,2025-01-26,2025-01-26,P-024,B-0153,72,384.48,Canterbury
O-01305,C-059,2025-01-26,,P-006,B-0213,72,399.6,Wellington
O-01317,C-063,2025-01-26,2025-01-26,P-044,B-0210,12,59.4,Bay of Plenty
O-00744,C-024,2025-01-27,2025-01-28,P-049,B-0031,24,183.12,Bay of Plenty
O-00939,C-063,2025-01-27,2025-01-27,P-025,B-0294,6,54.21,Bay of Plenty
O-01369,C-051,2025-01-27,2025-01-29,P-030,,48,107.04,Otago
O-01415,C-063,2025-01-27,2025-01-30,P-002,B-0007,24,83.22,Bay of Plenty
O-01492,C-017,2025-01-27,2025-01-30,P-038,B-0242,24,80.64,Canterbury
O-01252,C-055,2025-01-28,2025-01-29,P-007,,36,206.64,Wellington
O-01568,C-032,2025-01-28,2025-01-31,P-044,B-0262,24,118.8,Auckland
O-00168,C-057,2025-01-29,2025-01-30,P-013,B-0205,48,156.96,Auckland
O-00633,C-010,2025-01-29,2025-01-29,P-006,B-0252,48,266.4,Canterbury
O-00069,C-039,2025-01-30,,P-005,B-0140,72,357.84,Wellington
O-00704,C-008,2025-01-30,2025-01-30,P-037,B-0180,24,168.49,Wellington
O-00840,C-060,2025-01-30,2025-01-31,P-006,,72,399.6,Auckland
O-00665,C-007,2025-01-31,2025-02-02,P-040,B-0154,6,35.7,Waikato
O-00724,C-022,2025-01-31,2025-01-31,P-033,,12,95.76,Canterbury
O-01572,C-066,2025-01-31,2025-02-01,P-033,B-0010,24,201.6,Auckland
O-00056,C-048,2025-02-01,2025-02-03,P-025,B-0226,24,228.24,Auckland
O-00417,C-033,2025-02-01,2025-02-01,P-018,B-0133,24,101.0,Canterbury
O-00492,C-052,2025-02-01,2025-02-02,P-007,B-0147,24,137.76,Bay of Plenty
O-01615,C-049,2025-02-01,,P-048,B-0218,48,318.74,Canterbury
O-01418,C-058,2025-02-02,2025-02-05,P-045,B-0074,24,116.16,Canterbury
O-01513,C-057,2025-02-02,2025-02-02,P-016,B-0075,36,219.6,Auckland
O-00610,C-006,2025-02-03,2025-02-04,P-021,B-0040,24,235.2,Wellington
O-00770,C-015,2025-02-03,2025-02-06,P-046,B-0037,6,78.84,Auckland
O-00416,C-017,2025-02-04,2025-02-06,P-016,B-0005,72,439.2,Auckland
O-00849,C-047,2025-02-04,2025-02-06,P-026,B-0100,36,77.4,Canterbury
O-01446,C-014,2025-02-04,2025-02-07,P-041,B-0148,72,488.38,Canterbury
O-01761,C-063,2025-02-04,2025-02-05,P-049,B-0129,24,183.12,Bay of Plenty
O-00022,C-058,2025-02-05,2025-02-05,P-035,B-0048,24,94.56,Canterbury
O-00439,C-056,2025-05-02,2025-05-04,P-003,B-0207,12,68.29,Canterbury
O-00851,C-070,2025-02-05,2025-02-06,P-051,B-0189,12,57.0,Otago
O-01553,C-035,2025-02-05,2025-02-05,P-050,B-0043,36,147.6,Canterbury
O-00758,C-046,2025-02-06,2025-02-08,P-037,B-0209,48,354.72,Canterbury
O-00800,C-046,2025-02-06,2025-02-07,P-040,B-0011,12,71.4,Otago
O-01217,C-023,2025-02-06,2025-02-09,P-037,B-0180,48,354.72,Auckland
O-01578,C-030,2025-02-06,2025-02-07,P-041,,36,257.04,Bay of Plenty
O-01127,C-008,2025-02-07,2025-02-08,P-036,B-0177,24,122.66,Wellington
O-01344,C-036,2025-02-07,2025-02-08,P-035,B-0046,36,134.75,Otago
O-01380,C-035,2025-02-07,2025-02-10,P-032,B-0183,24,99.12,Canterbury
O-00413,C-064,2025-02-08,2025-02-11,P-025,B-0120,24,228.24,Bay of Plenty
O-00534,C-036,2025-02-08,2025-02-09,P-030,B-0144,12,26.76,Otago
O-01000,C-002,2025-02-08,2025-02-11,P-037,,36,266.04,Canterbury
O-01449,C-043,2025-02-08,2025-02-10,P-045,B-0123,72,348.48,Otago
O-01742,C-013,2025-02-08,2025-02-08,P-025,B-0294,24,228.24,Canterbury
O-00085,C-035,2025-02-09,2025-02-12,P-027,B-0032,36,115.2,Canterbury
O-00093,C-063,2025-02-09,2025-02-09,P-047,B-0096,72,924.48,Bay of Plenty
O-00711,C-049,2025-02-09,2025-02-12,P-024,,24,128.16,Canterbury
O-01083,C-030,2025-02-11,2025-02-12,P-001,B-0187,12,72.36,Bay of Plenty
O-01510,C-008,2025-02-11,2025-02-12,P-001,B-0163,48,274.97,Wellington
O-01526,C-041,2025-02-11,2025-02-14,P-048,B-0218,36,251.64,Auckland
O-00708,C-049,2025-02-12,2025-02-14,P-049,B-0225,12,91.56,Canterbury
O-01122,C-018,2025-02-12,2025-02-15,P-020,B-0068,24,151.2,Auckland
O-01477,C-013,2025-12-02,2025-12-02,P-046,B-0078,12,157.68,Auckland
O-01495,C-029,2025-02-12,,P-036,B-0255,12,64.56,Bay of Plenty
O-01533,C-049,2025-02-12,2025-02-13,P-029,B-0264,48,89.83,Canterbury
O-01705,C-006,2025-02-12,2025-02-14,P-022,B-0259,72,955.44,Wellington
O-00496,C-038,2025-02-13,,P-022,B-0125,12,159.24,Otago
O-00620,C-057,2025-02-13,2025-02-14,P-012,B-0267,24,88.69,Auckland
O-01561,C-012,2025-02-13,2025-02-15,P-021,,24,235.2,Otago
O-00342,C-049,2025-02-14,2025-02-15,P-006,B-0076,24,133.2,Canterbury
O-00422,C-019,2025-02-14,2025-02-16,P-019,B-0166,36,211.68,Bay of Plenty
O-01571,C-046,2025-02-14,2025-02-14,P-043,B-0197,48,288.48,Otago
O-01749,C-050,2025-02-14,2025-02-15,P-010,B-0038,72,123.12,Canterbury
O-00423,C-020,2025-02-15,2025-02-15,P-019,B-0166,36,211.68,Auckland
O-00654,C-049,2025-02-15,2025-02-18,P-047,B-0119,48,616.32,Canterbury
O-00795,C-008,2025-02-15,2025-02-16,P-024,B-0278,24,128.16,Wellington
O-01181,C-002,2025-02-15,2025-02-18,P-022,,12,151.28,Canterbury
O-01339,C-056,2025-02-15,2025-02-18,P-032,B-0295,48,188.33,Wellington
O-00006,C-038,2025-02-16,2025-02-18,P-043,B-0029,24,144.24,Wellington
O-00202,C-063,2025-02-16,2025-02-17,P-003,B-0157,12,71.88,Bay of Plenty
O-00905,C-027,2025-02-16,2025-02-19,P-003,B-0044,36,215.64,Auckland
O-01265,C-069,2025-02-16,2025-02-18,P-001,,36,206.23,Bay of Plenty
O-00391,C-019,2025-02-17,2025-02-19,P-028,,24,142.8,Bay of Plenty
